--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  3801112500 /    6  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10620918                     226.00-         1.000 MA9COMF      27.02.2019 22.0
  3801112500 /    7  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10620918                      32.00-         1.000 MA9COMF      27.02.2019 22.0
  3801112509 /    1  ECPO  800000     103503     WOLLONGONG CONSTRUCTION SURVEYS     F     10647316                    7000.00-         1.000 SRM_ER04     27.02.2019 03.0
  3801112556 /    1  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     10644198                     329.00-         1.000 MA9GARR      20.02.2019 22.0
  3801112659 /    1  ECPO  800000     105259     JOES DIY PLY & WOOD                 F     10597294                     950.00-         0.000 MANICT       27.02.2019 19.0
  3801113588 /    1  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10649077                    1130.00-         0.000 MATIMF       26.02.2019 01.0
  3801113610 /    1  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10638197                     157.75-         0.000 MAPICP       25.02.2019 27.0
  3801113610 /    2  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10638197                      50.40-         0.000 MAPICP       25.02.2019 27.0
  3801113610 /    3  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10638197                       8.00-         0.000 MAPICP       25.02.2019 27.0
  3801113747 /    1  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     10624580                      84.00-         0.000 MAFERS       26.02.2019 28.0
  3801113935 /    1  ECPO  800000     102230     SYNTECHTRON PTY LTD                 F     10649042                     677.00-         0.000 MATROP       27.02.2019 28.0
  3801114039 /    1  ECPO  800000     115626     ADC LOCKSMITHS                      F     10614098                      80.00-        10.000 MARINA1      26.02.2019 22.0
  3801114039 /    2  ECPO  800000     115626     ADC LOCKSMITHS                      F     10614098                      50.00-        10.000 MARINA1      26.02.2019 22.0
  3801114039 /    3  ECPO  800000     115626     ADC LOCKSMITHS                      F     10643125                     168.00-        21.000 MARINA1      26.02.2019 22.0
  3801114318 /    1  ECPO  800000     113089     CLEARSAFE ENVIRONMENTAL SOLUTIONS P F     10533922                     200.00-         1.000 MA9FLOO      28.02.2019 26.0
  3801114322 /    1  ECPO  800000     117371     WJH CONSTRUCTIONS PTY LTD           F     10630497                     858.00-         0.000 MA9RIED      27.02.2019 26.0
  3801114361 /    1  ECPO  800000     117371     WJH CONSTRUCTIONS PTY LTD           F     10648717                     951.39-         0.000 MA9RIED      27.02.2019 26.0
  3801114780 /    1  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    2  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    3  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    4  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    5  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    6  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    7  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    8  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /    9  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114780 /   10  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10589870                    2275.00-         0.000 MANICT       28.02.2019 27.0
  3801114873 /    1  ECPO  800000     114464     MCKECHNIE IRON FOUNDRY PTY LTD      F     10589866                     400.00-         1.000 MANICT       28.02.2019 04.0
  3801114956 /    1  ECPO  800000     115052     MAX1 SERVICES PTY LTD               F     10539046                    1185.00-         0.000 MAFRAS       11.02.2019 25.0
  3801115086 /    1  ECPO  800000     116393     GBAR GROUP                          F     10589855                    3664.00-         0.000 MANICT       28.02.2019 27.0
  3801115088 /    1  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10597295                    1670.00-         0.000 MANICT       28.02.2019 27.0
  3801115154 /    1  ECPO  800000     102983     ALAN E CLODE PTY LTD                F     10597296                    1880.00-         0.000 MANICT       28.02.2019 27.0
  3900550084 /    3  NB    800000     115604     TEFCO ENGINEERING PTY LTD           F     10604601                    1010.00-         1.000 YMA          10.07.2018 21.0
  3900584922 /    2  NB    800000     103591     LUCCHINI ENGINEERING PTY LTD        F     10625949                     700.00-         4.000 BMD          06.09.2018 29.0
  3900584922 /    3  NB    800000     103591     LUCCHINI ENGINEERING PTY LTD        F     10625952                     350.00-         2.000 BMD          06.09.2018 10.0
  3900596820 /    1  NB    800000     104081     VERDON BROS PTY LTD                 F     10568570                    5280.00-        40.000 CME          19.12.2018 20.1
  3900598839 /    1  NB    800000     104081     VERDON BROS PTY LTD                 F     10641740                    5280.00-        40.000 CME          08.01.2019 04.1
  3900598840 /    1  NB    800000     104081     VERDON BROS PTY LTD                 F     10641737                    5280.00-        40.000 CME          08.01.2019 04.1
  3900601014 /    1  NB    800000     101689     ZZ ENGINEERING PTY LTD              F     10619601                    1250.00-         0.000 CME          25.02.2019 17.1
  3900601032 /    1  NB    800000     104081     VERDON BROS PTY LTD                 F     10643160                    2640.00-        20.000 CME          20.02.2019 17.1
  3900604287 /    1  NB    800000     104115     SNARE FABRICATIONS PTY LTD          F     10645630                    1373.00-         1.000 FMG          28.02.2019 21.0
  3900606206 /    1  NB    800000     102831     VALVEMAN                            F     10629139                      12.25-         1.000 FE1          12.02.2019 08.0
  3900606265 /    1  NB    800000     102831     VALVEMAN                            F     10647148                     874.90-         2.000 SMD          26.02.2019 08.0
  3900606266 /    1  NB    800000     102831     VALVEMAN                            F     10647148                    1370.80-         2.000 SMD          26.02.2019 08.0
  3900606407 /    1  NB    800000     103309     KLUBER LUBRICATION (AUST) PTY LTD   F     10614104                    6864.00-         6.000 VMC          19.02.2019 14.0
  3900606526 /    1  NB    800000     104081     VERDON BROS PTY LTD                 F     10638671                    2640.00-        20.000 CME          25.02.2019 06.0
  3900606706 /    1  NB    800000     102831     VALVEMAN                            F     10632588                      16.60-         2.000 EMB          12.02.2019 12.0
  3900606773 /    1  NB    800000     102831     VALVEMAN                            F     10622492                      16.60-         2.000 CMD          12.02.2019 12.0
  3900607295 /    1  NB    800000     102831     VALVEMAN                            F     10622492                      24.50-         2.000 CMD          14.02.2019 18.0
  3900607326 /    1  NB    800000     102831     VALVEMAN                            F     10614093                      24.50-         2.000 VMG          14.02.2019 18.0
  3900607468 /    1  NB    800000     114815     MC SCIENTIFIC                       F     10643792                     552.00-         8.000 SM0          25.02.2019 13.0
  3900607526 /    1  NB    800000     102831     VALVEMAN                            F     10632635                      24.50-         2.000 UMC          14.02.2019 18.0
  3900607590 /    1  NB    800000     101689     ZZ ENGINEERING PTY LTD              F     10641740                    1250.00-         0.000 CME          25.02.2019 12.0
  3900607678 /    1  NB    800000     104583     B&E GAS SUPPLIES PTY LTD            F     10644081                      35.00-         1.000 DMA          16.01.2019 14.0
  3900607678 /    2  NB    800000     104583     B&E GAS SUPPLIES PTY LTD            F     10644081                      35.00-         1.000 DMA          16.01.2019 14.0
  3900608257 /    1  NB    800000     102831     VALVEMAN                            F     10619691                     300.00-         5.000 BM0          20.02.2019 19.0
  3900608373 /    1  NB    800000     102831     VALVEMAN                            F     10646578                      37.20-         2.000 FMG          22.02.2019 13.0
  3900609012 /    1  NB    800000     101689     ZZ ENGINEERING PTY LTD              F     10643160                    1720.00-         0.000 CME          27.02.2019 25.0

                                                                                                        ---------------
*     Total for category PM01                                                                               937,050.12-

Category:          PM02                        Breakdown

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3801038089 /    1  ECPO  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT F     20453498                    1962.63-         1.000 MACOWG       15.05.2018 09.0
  3801042267 /    1  ECPO  800000     116411     KEY BATTERY SERVICES PTY LTD        F     20454996                     560.00-        28.000 SRM_ER04     28.05.2018 29.0
  3801043351 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     20455570                     119.70-         9.000 MA9DAVJ      30.05.2018 28.0
  3801051338 /    1  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                    4724.03-         0.000 MA9HUNM      11.01.2019 24.0
  3801051338 /    2  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                     406.10-         0.000 MA9HUNM      11.01.2019 24.0
  3801051338 /    3  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                     861.01-         0.000 MA9HUNM      11.01.2019 24.0
  3801051338 /    4  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                     136.60-         0.000 MA9HUNM      11.01.2019 24.0
  3801051338 /    5  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                       5.75-         0.000 MA9HUNM      11.01.2019 24.0
  3801051338 /    6  ECPO  800000     201688     ROTA VAL LTD                        F     20437822                     461.34-         0.000 MA9HUNM      11.01.2019 24.0
  3801056465 /    1  ECPO  800000     108200     SOUTH COAST PEST CONTROL            F     20446190                     180.00-         1.000 MA9PRYT      03.09.2018 12.0
  3801057388 /    2  ECPO  800000     116857     FIRESENSE PTY LTD                   F     20459284                      50.00-         1.000 SRM_ER04     20.07.2018 23.0
  3801057974 /    2  ECPO  800000     103913     BURKERT FLUID CONTROL SYSTEM        F     20460387                      28.00-         1.000 MAPERP1      25.07.2018 10.0
  3801063030 /    1  ECPO  800000     102994     EILBECK CRANES                      F     20452938                     352.00-         1.000 MA9MACK      16.08.2018 13.0
  3801065630 /    1  ECPO  800000     116939     FIREWORLD AUSTRALIA PTY LTD         F     20437368                      39.00-         1.000 MA9MURP1     17.08.2018 26.1
  3801083220 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20466408                      14.62-         1.000 SRM_ER04     19.02.2019 25.1
  3801083220 /    2  ECPO  800000     103890     TLE ELECTRICAL                      F     20466408                       7.94-         1.000 SRM_ER04     19.02.2019 25.1
  3801083220 /    3  ECPO  800000     103890     TLE ELECTRICAL                      F     20466408                      15.64-         1.000 SRM_ER04     19.02.2019 25.1
  3801083220 /    4  ECPO  800000     103890     TLE ELECTRICAL                      F     20466408                      11.70-         1.000 SRM_ER04     19.02.2019 25.1
  3801083220 /    5  ECPO  800000     103890     TLE ELECTRICAL                      F     20466408                     125.98-         1.000 SRM_ER04     19.02.2019 25.1
  3801085402 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     20469025                    1090.00-         2.000 SRM_ER04     19.02.2019 02.1
  3801087301 /    1  ECPO  800000     113089     CLEARSAFE ENVIRONMENTAL SOLUTIONS P F     20468152                     736.00-         1.000 MA9PRYT      19.11.2018 12.1
  3801096765 /    1  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     20472459                     290.00-         1.000 SRM_ER04     05.12.2018 07.1
  3801096768 /    1  ECPO  800000     102356     KENNARDS HIRE PTY LTD               F     20472837                    1531.01-         1.000 MA9MITD      11.12.2018 10.1
  3801101971 /    1  ECPO  800000     112170     TEREX JAQUES                        F     20474336                    6326.58-         1.000 MAWALC1      05.02.2019 08.0
  3801105375 /    1  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     20473297                     597.00-         3.000 MAKERB       23.01.2019 25.0
  3801105375 /    2  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     20473297                     149.00-         1.000 MAKERB       23.01.2019 27.0
  3801105375 /    3  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     20473297                     316.00-         4.000 MAKERB       23.01.2019 27.0
  3801108651 /    1  ECPO  800000     102282     CONTROLWARE AUSTRALIA PTY LTD       F     20477107                     875.00-         0.000 MAMORC1      18.02.2019 19.0
  3801113161 /    1  ECPO  800000     102827     XYLEM WATER SOLUTIONS AUSTRALIA LTD F     20479056                   14613.00-         1.000 MAKOTA       22.02.2019 26.0
  3900593400 /    2  NB    800000     102831     VALVEMAN                            F     20466327                      17.00-         1.000 VMG          14.11.2018 26.1

                                                                                                        ---------------
*     Total for category PM02                                                                                36,602.63-

Category:          PM03                        Routine with Notification

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3801015269 /    1  ECPO  800000     114851     PACIFIC RAIL ENGINEERING PTY LTD    F     30523753                   33318.00-         1.000 MADEOR       04.09.2018 18.0
  3801026619 /    1  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458587                      46.92-         3.000 MADEGJ       27.06.2018 30.0
  3801026619 /    2  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458587                     110.80-         5.000 MADEGJ       27.06.2018 30.0
  3801026619 /    3  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458587                     150.80-        10.000 MADEGJ       27.06.2018 30.0
  3801026619 /    5  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458587                      97.40-         1.000 MADEGJ       27.06.2018 30.0
  3801026619 /    6  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     30458587                      33.53-         0.259 MADEGJ       27.06.2018 30.0
  3801047631 /    1  ECPO  800000     103319     SULLAIR AUSTRALIA PTY LTD           F     30506516                     633.74-         1.000 MALAMD       01.08.2018 16.0
  3801049840 /    1  ECPO  800000     114885     C WILLS TRANSPORT PTY LTD           F     30449714                     320.00-         1.000 MATIMF       10.07.2018 21.0
  3801051321 /    1  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                    5829.13-         1.000 MA9HUNM      02.01.2019 24.0
  3801051321 /    2  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                     751.75-         8.000 MA9HUNM      02.01.2019 24.0
  3801051321 /    3  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                    1221.96-         2.000 MA9HUNM      02.01.2019 24.0
  3801051321 /    4  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                     164.98-         2.000 MA9HUNM      02.01.2019 24.0
  3801051321 /    5  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                       6.22-         2.000 MA9HUNM      02.01.2019 24.0
  3801051321 /    6  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                     505.00-         2.000 MA9HUNM      02.01.2019 24.0
  3801052008 /    1  ECPO  800000     103876     BROOKES ENGRAVING                   F     30529306                     198.00-         0.000 MADAMJ       02.08.2018 03.0
  3801053613 /    1  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                       1.00-         0.000 MA9HUNM      22.08.2018 24.0
  3801053613 /    2  ECPO  800000     201688     ROTA VAL LTD                        F     30412086                       1.00-         0.000 MA9HUNM      22.08.2018 24.0
  3801054864 /    1  ECPO  800000     115283     USE 117242 ILLAWARRA GROUNDS & SURR F     30514952                    5642.00-         1.000 MABARP       13.11.2018 09.0
  3801059441 /    2  ECPO  800000     115839     CUMI AUSTRALIA PTY LTD              F     30532107                    1953.48-         6.690 MAPICD1      03.12.2018 27.0
  3801059441 /    3  ECPO  800000     115839     CUMI AUSTRALIA PTY LTD              F     30532107                     104.04-         0.612 MAPICD1      03.12.2018 27.0
  3801064631 /    1  ECPO  800000     115283     USE 117242 ILLAWARRA GROUNDS & SURR F     30544330                    2370.00-         1.000 MABARP       03.12.2018 01.1
  3801076716 /    1  ECPO  800000     108153     TECO AUSTRALIA PTY LTD              F     30536721                      20.00-         1.000 MA9BABA      27.09.2018 03.1
  3801084113 /    1  ECPO  800000     112771     WEIR MINERALS (SERVICES)            F     30538609                     290.46-         2.000 SRM_ER04     06.11.2018 01.1
  3801093943 /    1  ECPO  800000     107946     BRAY CONTROLS PACIFIC PTY LTD       F     30551738                   10708.50-         1.000 MACOOB       31.01.2019 30.0
  3801095928 /    1  ECPO  800000     103890     TLE ELECTRICAL                      F     30559632                      70.88-         1.000 MAHULJ       10.12.2018 05.0
  3801098300 /    1  ECPO  800000     114815     MC SCIENTIFIC                       F     30558274                     330.00-         1.000 MAMIHM       02.01.2019 19.1
  3801103244 /    1  ECPO  800000     114774     PRODETEC PTY LTD                    F     30563054                     360.00-         1.000 MALOPLJ      17.01.2019 31.0
  3801103244 /    2  ECPO  800000     114774     PRODETEC PTY LTD                    F     30563054                      40.00-         1.000 MALOPLJ      17.01.2019 31.0
  3801103889 /    1  ECPO  800000     102831     VALVEMAN                            F     30567914                    6828.00-         4.000 MARICT       18.02.2019 30.0
  3801114668 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     30549424                      48.00-         0.000 MA9REFA      28.02.2019 12.0
  3801114668 /    2  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     30549424                      56.00-         0.000 MA9REFA      28.02.2019 12.0
  3900529387 /    2  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30483177                      28.22-         9.000 UE3          16.04.2018 14.0
  3900529387 /    3  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30483177                       6.27-         2.000 UE3          16.04.2018 14.0
  3900529387 /    4  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30483177                     123.93-        17.000 UE3          16.04.2018 14.0
  3900565129 /    1  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30521924                      18.84-         4.000 FE3          10.04.2018 13.0
  3900565129 /    2  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30521924                      45.90-         6.000 FE3          10.04.2018 13.0
  3900565129 /    3  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30521924                       6.90-         3.000 FE3          10.04.2018 13.0
  3900565129 /    4  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30521924                       9.72-         2.000 FE3          10.04.2018 13.0
  3900565129 /    5  NB    800000     104222     AIREPURE AUSTRALIA PTY LTD          F     30521924                       4.60-         2.000 FE3          10.04.2018 13.0
  3900604532 /    1  NB    800000     103221     DYNELEC AUSTRALIA                   F     30567855                    1552.70-         0.000 HE2          30.01.2019 30.0

                                                                                                        ---------------
*     Total for category PM03                                                                                74,008.67-

Category:          PM04                        Routine without Notification

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3800996707 /    1  ECPO  800000     200791     TMEIC JAPAN                         F     41981836                       1.00-         0.000 MADEGJ       17.05.2018 30.0
  3800996707 /    7  ECPO  800000     200791     TMEIC JAPAN                         F     41981836                       1.00-         0.000 MADEGJ       17.05.2018 30.0
  3800996707 /    8  ECPO  800000     200791     TMEIC JAPAN                         F     41975160                       1.00-         0.000 MADEGJ       17.05.2018 30.0
  3800996707 /    9  ECPO  800000     200791     TMEIC JAPAN                         F     41975160                       1.00-         0.000 MADEGJ       17.05.2018 30.0
  3800996707 /   10  ECPO  800000     200791     TMEIC JAPAN                         F     41975160                       1.00-         0.000 MADEGJ       17.05.2018 30.0
  3801012049 /    1  ECPO  800000     103986     TEMA ENGINEERS PTY LTD              F     42111310                     991.71-         1.000 MABISP       01.05.2018 05.0
  3801018524 /    1  ECPO  800000     103976     CLEANAWAY                           F     41982227                     408.00-         1.000 MACURT       06.11.2018 23.0
  3801022512 /    1  ECPO  800000     115743     GRQ INDUSTRIAL & ENGINEERING SUPPLI F     41981641                     120.75-         1.000 MARINA1      12.03.2018 09.0
  3801034543 /    1  ECPO  800000     111574     HVTC EMPLOYMENT SOLUTIONS           F     42179729                     100.00-        20.000 MASZAT       18.04.2018 25.0
  3801040142 /    2  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42189503                    4999.99-         0.000 MAFLAR       10.08.2018 06.0
  3801040142 /    3  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42189503                    4999.99-         0.000 MAFLAR       10.08.2018 06.0
  3801040142 /    4  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42189503                    4999.99-         0.000 MAFLAR       10.08.2018 06.0
  3801040142 /    5  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42189503                    4999.99-         0.000 MAFLAR       10.08.2018 06.0
  3801050908 /    1  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42204873                       0.99-         0.000 MAFLAR       10.08.2018 27.0
  3801050908 /    2  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42204873                       0.99-         0.000 MAFLAR       10.08.2018 27.0
  3801050908 /    3  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42204873                       0.99-         0.000 MAFLAR       10.08.2018 27.0
  3801050908 /    4  ECPO  800000     202471     ALPINE METAL TECH GMBH              F     42204873                       0.99-         0.000 MAFLAR       10.08.2018 27.0
  3801054456 /    1  ECPO  800000     116740     ATLAS COPCO COMPRESSORS AUSTRALIA   F     42256406                    2115.25-         1.000 MALEIR1      20.07.2018 06.0
  3801063489 /    1  ECPO  800000     103319     SULLAIR AUSTRALIA PTY LTD           F     42166864                    1463.64-         1.000 MAANDB2      13.09.2018 08.0
  3801064030 /    1  ECPO  800000     102799     CSE UNISERVE PTY LTD                F     42173720                     150.00-         1.000 MASZAT       13.08.2018 24.0
  3801069224 /    2  ECPO  800000     103887     METTLER TOLEDO LTD                  F     42153598                    5733.00-         1.000 MAKITK       18.10.2018 13.0
  3801075500 /    1  ECPO  800000     112771     WEIR MINERALS (SERVICES)            F     42004483                   14550.00-         0.000 MAWILR3      27.02.2019 21.0
  3801076358 /    1  ECPO  800000     114252     WELDEREPAIR                         F     42154100                     135.45-         1.000 MAHERE       21.02.2019 24.0
  3801087410 /    2  ECPO  800000     102782     I OPEN PTY LTD                      F     42154102                      25.00-         1.000 MA9MARG1     21.01.2019 26.1
  3801094627 /    1  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     42147728                     299.00-         1.000 MAMCKC       03.12.2018 15.1
  3801094720 /    1  ECPO  800000     200791     TMEIC JAPAN                         F     42154102                       1.00-         0.000 MADEGJ       20.02.2019 23.0
  3801096688 /    1  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     42275795                    2086.80-        12.000 MAOWEC       12.12.2018 14.1
  3801104432 /    1  ECPO  800000     102831     VALVEMAN                            F     41223528                    5120.00-         1.000 MATIMF       11.02.2019 06.0
  3801105869 /    1  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     396.20-        14.000 MASZAT       24.01.2019 01.0
  3801105869 /    2  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     519.00-        10.000 MASZAT       24.01.2019 01.0
  3801105869 /    3  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     407.00-        10.000 MASZAT       24.01.2019 01.0
  3801105869 /    4  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     533.00-       100.000 MASZAT       24.01.2019 01.0
  3801105869 /    5  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     136.98-        18.000 MASZAT       24.01.2019 01.0
  3801105869 /    6  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      69.00-         3.000 MASZAT       24.01.2019 01.0
  3801105869 /    7  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      34.20-         2.000 MASZAT       24.01.2019 01.0
  3801105869 /    8  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      59.00-         2.000 MASZAT       24.01.2019 01.0
  3801105869 /    9  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      60.20-         2.000 MASZAT       24.01.2019 01.0
  3801105869 /   10  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     125.40-         3.000 MASZAT       24.01.2019 01.0
  3801105869 /   11  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     100.80-         2.000 MASZAT       24.01.2019 01.0
  3801105869 /   12  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     149.80-         7.000 MASZAT       24.01.2019 01.0
  3801105869 /   13  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     111.30-         7.000 MASZAT       24.01.2019 01.0
  3801105869 /   14  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     161.20-        13.000 MASZAT       24.01.2019 01.0
  3801105869 /   15  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      35.40-         3.000 MASZAT       24.01.2019 01.0
  3801105869 /   16  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     120.50-         5.000 MASZAT       24.01.2019 01.0
  3801105869 /   17  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                     153.60-         8.000 MASZAT       24.01.2019 01.0
  3801105869 /   18  ECPO  800000     115286     SWAGELOK EASTERN AUSTRALIA          F     42304927                      87.30-         3.000 MASZAT       24.01.2019 01.0
  3801108322 /    2  ECPO  800000     103136     ELECTRICAL ENGINEERING EQUIPMENT    F     42295881                     146.60-        20.000 MAKITK       08.02.2019 08.0
  3801108322 /    3  ECPO  800000     103136     ELECTRICAL ENGINEERING EQUIPMENT    F     42295881                    1350.00-        20.000 MAKITK       08.02.2019 01.0
  3801111043 /    1  ECPO  800000     102163     ILLAWARRA ELECTRICAL DISTRIBUTORS   F     42147726                     398.00-         2.000 MAKERB       27.02.2019 18.0
  3801113596 /    1  ECPO  800000     103352     TRIPLE I PTY LTD                    F     42279059                     215.10-         0.000 MABOYD       28.02.2019 27.0
  3801113596 /    2  ECPO  800000     103352     TRIPLE I PTY LTD                    F     42279059                      42.00-         0.000 MABOYD       28.02.2019 27.0
  3801113618 /    1  ECPO  800000     103352     TRIPLE I PTY LTD                    F     42314181                    5130.00-         0.000 MASZAT       27.02.2019 27.0
  3801113618 /    2  ECPO  800000     103352     TRIPLE I PTY LTD                    F     42314181                     180.00-         0.000 MASZAT       27.02.2019 27.0
  3801113946 /    1  ECPO  800000     103425     FILTERS PLUS                        F     42324088                     584.23-         1.000 MAMCVS       26.02.2019 04.0
  3801114695 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     42323776                       5.00-         0.000 MAMCLE       28.02.2019 27.0
